Bar,Side,PMT,HV Cable (PMT to PP),HV PP,PP Channel,Multiway,CAEN Channel Name,CAEN Channel Number
72,Left,193,H-HV-R72,H-HV-PP-L1,1-7,H-HV-MW-L1,hodo_L72,6.0025
72,Right,192,H-HV-R72,H-HV-PP-R1,1-8,H-HV-MW-R1,hodo_R72,4.0025
73,Left,292,H-HV-R73,H-HV-PP-L1,1-6,H-HV-MW-L1,hodo_L73,6.0026
73,Right,293,H-HV-R73,H-HV-PP-R1,1-9,H-HV-MW-R1,hodo_R73,4.0026
74,Left,185,H-HV-R74,H-HV-PP-L1,1-5,H-HV-MW-L1,hodo_L74,6.0027
74,Right,184,H-HV-R74,H-HV-PP-R1,1-10,H-HV-MW-R1,hodo_R74,4.0027
75,Left,299,H-HV-R75,H-HV-PP-L1,1-4,H-HV-MW-L1,hodo_L75,6.0028
75,Right,298,H-HV-R75,H-HV-PP-R1,1-11,H-HV-MW-R1,hodo_R75,4.0028
76,Left,240,H-HV-R76,H-HV-PP-L1,1-3,H-HV-MW-L1,hodo_L76,6.0029
76,Right,237,H-HV-R76,H-HV-PP-R1,1-12,H-HV-MW-R1,hodo_R76,4.0029
77,Left,233,H-HV-R77,H-HV-PP-L1,1-2,H-HV-MW-L1,hodo_L77,6.0030
77,Right,234,H-HV-R77,H-HV-PP-R1,1-13,H-HV-MW-R1,hodo_R77,4.0030
78,Left,187,H-HV-R78,H-HV-PP-L1,1-1,H-HV-MW-L1,hodo_L78,6.0031
78,Right,188,H-HV-R78,H-HV-PP-R1,1-14,H-HV-MW-R1,hodo_R78,4.0031
79,Left,56,H-HV-R79,H-HV-PP-L1,1-0,H-HV-MW-L1,hodo_L79,6.0032
79,Right,116,H-HV-R79,H-HV-PP-R1,1-15,H-HV-MW-R1,hodo_R79,4.0032
80,Left,195,H-HV-R80,H-HV-PP-L1,0-15,H-HV-MW-L1,hodo_L80,6.0033
80,Right,182,H-HV-R80,H-HV-PP-R1,2-0,H-HV-MW-R1,hodo_R80,4.0033
81,Left,178,H-HV-R81,H-HV-PP-L1,0-14,H-HV-MW-L1,hodo_L81,6.0034
81,Right,179,H-HV-R81,H-HV-PP-R1,2-1,H-HV-MW-R1,hodo_R81,4.0034
82,Left,205,H-HV-R82,H-HV-PP-L1,0-13,H-HV-MW-L1,hodo_L82,6.0035
82,Right,204,H-HV-R82,H-HV-PP-R1,2-2,H-HV-MW-R1,hodo_R82,4.0035
83,Left,199,H-HV-R83,H-HV-PP-L1,0-12,H-HV-MW-L1,hodo_L83,6.0036
83,Right,200,H-HV-R83,H-HV-PP-R1,2-3,H-HV-MW-R1,hodo_R83,4.0036
84,Left,229,H-HV-R84,H-HV-PP-L1,0-11,H-HV-MW-L1,hodo_L84,6.0037
84,Right,228,H-HV-R84,H-HV-PP-R1,2-4,H-HV-MW-R1,hodo_R84,4.0037
85,Left,263,H-HV-R85,H-HV-PP-L1,0-10,H-HV-MW-L1,hodo_L85,6.0038
85,Right,261,H-HV-R85,H-HV-PP-R1,2-5,H-HV-MW-R1,hodo_R85,4.0038
86,Left,231,H-HV-R86,H-HV-PP-L1,0-9,H-HV-MW-L1,hodo_L86,6.0039
86,Right,230,H-HV-R86,H-HV-PP-R1,2-6,H-HV-MW-R1,hodo_R86,4.0039
87,Bar Not yet inserted,,,H-HV-PP-L1,0-8,H-HV-MW-L1,hodo_L87,6.0040
87,Bar Not yet inserted,,,H-HV-PP-R1,2-7,H-HV-MW-R1,hodo_R87,4.0040
88,Bar Not yet inserted,,,H-HV-PP-L1,0-7,H-HV-MW-L1,hodo_L88,6.0041
88,Bar Not yet inserted,,,H-HV-PP-R1,2-8,H-HV-MW-R1,hodo_R88,4.0041
89,Bar Not yet inserted,,,H-HV-PP-L1,0-6,H-HV-MW-L1,hodo_L89,6.0042
89,Bar Not yet inserted,,,H-HV-PP-R1,2-9,H-HV-MW-R1,hodo_R89,4.0042
,,,,,,,,
,,,,,,,,
